blue_win,GoldDiff,MinionDiff,JgMinionDiff,LevelDiff,KillDiff,HeraldDiff,DragonDiff,TowersDiff
0,-1281,3,9,-0.6,-6,1,-2,0
0,-1555,-4,-56,-0.4,1,0,-2,0
1,6743,53,8,0,6,1,2,4
0,-10168,-133,-47,-1.2,-9,-1,-2,-3
1,6328,42,50,1,8,1,2,2
1,2614,43,-4,0.4,2,0,0,0
1,2155,5,16,0.6,3,1,-1,1
0,2418,56,2,0.4,1,-1,2,0
1,3863,17,-15,0.4,6,1,-2,1
1,-1196,-45,15,-0.4,-1,1,-2,0
0,-3608,-83,-19,0,0,1,1,-1
1,6615,8,10,0.2,9,1,1,1
1,-1362,20,15,-0.2,-4,1,0,0
0,-8377,-134,-31,-1.2,-5,-1,-2,-4
1,3622,9,5,0,5,1,1,1
1,2214,22,-29,-0.2,0,1,1,2
1,2923,25,-2,0.2,4,-1,0,1
0,-5284,-53,-6,-0.8,-7,1,0,-1
0,-805,-12,-5,-0.2,-2,1,-2,1
1,8790,96,27,1,12,-1,1,2
1,3982,64,-2,0.2,4,-1,-1,0
1,8112,23,12,1,12,1,1,2
1,4006,12,8,0.4,6,0,0,1
1,-57,21,-21,0,5,-1,2,-2
1,10892,39,18,1,22,1,1,4
0,-3048,5,-9,-0.2,0,0,-2,-2
0,-1282,-7,-55,-0.2,-4,-1,-1,0
0,-1509,6,-1,0,-2,-1,1,-1
1,4976,25,8,1.2,8,-1,0,2
0,-5106,-30,-2,-0.8,-10,-1,-1,-1
0,1041,-24,4,0.2,0,1,0,1
0,3326,-50,21,0.2,9,1,2,2
0,-2725,-18,3,0,-4,1,-2,0
1,-4446,-38,-20,-0.8,-5,1,2,-1
1,676,-18,17,-0.4,0,1,0,0
0,-4853,17,-4,-0.4,-11,1,0,-2
0,-6181,-20,-62,-0.8,-7,-1,-2,-1
0,1442,-13,-12,-0.2,2,1,2,2
1,6317,31,18,1,8,1,-1,2
0,-7537,-90,2,-1.2,-13,1,-1,-1
1,-1284,-36,15,0.2,-3,0,2,-1
1,6038,47,7,0.4,8,1,-1,2
0,-13503,-55,-30,-1,-22,-1,-2,-5
1,5653,10,7,0.6,10,0,2,2
0,-9005,-79,-25,-1.4,-12,-1,-2,-3
0,55,-31,15,0,1,0,2,0
0,2596,27,-4,-0.2,4,1,0,1
0,-4078,-12,-11,-0.4,-7,1,-2,0
1,-1176,-18,-4,0,-1,0,1,-1
1,148,-13,2,0.4,0,0,0,0
1,4258,-8,36,0.2,8,0,2,0
1,2200,29,-19,0.2,6,-1,0,0
0,1539,-33,8,0.4,6,1,1,0
0,287,9,4,0.2,-2,0,2,0
0,-621,-75,7,0.2,4,-1,2,-1
0,-11363,-17,-42,-1.6,-14,-1,-2,-3
1,-1990,-21,-36,-0.2,-1,0,-2,-2
0,2791,53,4,0.6,0,1,-1,0
0,1316,39,-24,0,2,0,0,1
0,-523,-37,31,0.4,-2,-1,0,0
0,-32,14,15,0.2,-2,1,1,1
1,2459,12,11,0.2,2,1,2,1
1,594,29,21,0.6,3,1,2,-1
0,-5359,-66,-12,-0.6,-9,-1,-2,0
0,-7616,-32,-35,-1.6,-10,-1,-2,-2
1,8944,30,34,0.8,10,1,1,3
0,-909,45,-5,-0.6,-4,1,0,0
0,-267,3,-8,0.2,-1,-1,-1,0
1,1740,-5,-14,0,6,1,2,0
0,-2889,-18,-32,-0.2,0,-1,-1,-1
0,1435,-29,14,0,3,1,0,1
0,-1300,-27,8,0.2,0,-1,-1,-2
1,484,-2,4,0.4,-1,0,-2,1
1,4542,11,-26,0.2,11,0,0,0
0,-2879,-40,-13,0,-5,-1,-1,0
0,-6433,-55,-69,-1.6,-8,-1,-1,-2
1,8444,56,35,1.2,9,1,1,2
1,-2291,-81,12,-0.6,-1,0,1,-1
1,1575,64,19,0.4,-3,0,0,1
0,-5532,-54,-24,-1.2,-8,0,0,0
0,-3147,-71,-5,-0.6,-8,1,-2,0
0,2232,31,3,0.2,2,1,-1,1
0,-11297,-124,-46,-1.8,-5,-1,-2,-7
1,4197,10,2,0.6,4,0,2,2
0,-5303,-19,-23,-0.8,-6,-1,-2,-2
1,-3210,-38,-14,-0.4,-2,-1,-2,-2
1,2234,-29,6,0,5,1,1,2
0,-4213,-82,11,-0.4,-5,-1,0,-2
1,2282,4,4,0.2,0,0,-1,2
1,4535,-23,33,0.8,11,1,2,0
1,2453,45,24,-0.2,0,-1,0,1
1,-2468,-51,-19,0,0,-1,-1,-1
1,5925,57,15,1.2,8,-1,0,0
0,-4410,16,10,-0.4,-7,-1,1,-1
0,-604,-54,-13,0.2,3,1,-2,-1
1,4143,-12,32,0.8,6,1,-1,3
0,-4640,-9,-1,-1,-9,1,-2,-2
1,3366,-2,28,1.2,5,1,0,0
1,3526,14,16,0.6,2,0,-1,1
0,759,-18,-11,0.2,5,1,2,1
0,-8630,-69,-59,-1.2,-7,-1,-2,-4
1,5103,10,-6,1,8,1,1,1
0,-3898,-39,2,-0.6,-7,0,-2,0
1,-4131,-39,-7,-0.8,-7,0,1,-1
0,-1709,-18,10,-0.2,-4,0,2,0
0,1965,-15,22,0,3,-1,1,0
0,-2369,-19,12,-0.4,-3,1,0,-1
1,608,-10,7,0,4,-1,2,0
1,-1125,-31,-30,-0.6,0,-1,1,-1
0,-1865,-11,-33,-0.4,-2,1,0,0
1,940,10,-30,-0.4,4,-1,-2,-1
1,-1499,5,-17,-0.4,1,1,0,-1
0,-3529,-67,2,-0.6,-2,1,1,-1
0,1733,12,13,0.2,1,1,0,1
1,7294,25,44,0.8,9,0,2,3
1,793,-15,36,0.8,1,-1,2,-1
0,-1377,-58,2,0,1,-1,1,-1
0,-8364,-65,-32,-1,-9,-1,-2,-3
0,-2110,66,-8,-0.2,-9,1,-1,1
0,-5669,-50,-7,-1,-8,0,-2,-2
0,-2380,-31,7,-0.2,-2,-1,1,-1
1,-3672,-21,-24,-1,-6,1,-2,-1
0,-7125,-87,-26,-0.6,-5,-1,0,-2
0,-481,5,12,0,-2,-1,-2,0
0,-2043,-29,-8,-0.2,1,-1,1,-1
1,6126,0,10,0.8,12,0,1,1
0,774,57,10,0.4,-1,-1,-1,-1
0,-6004,-27,-23,-0.6,-4,1,-2,-2
0,-5396,-34,-10,-0.4,-8,-1,-2,-2
1,-1711,-27,6,-0.4,-1,1,1,0
0,-3615,45,9,0,-4,0,-2,-2
1,1062,10,12,0.6,0,0,0,0
1,2226,10,18,-0.2,1,0,0,1
1,-1857,-20,-24,-0.4,-1,-1,0,0
1,-823,23,-29,-0.2,-1,-1,-2,0
1,6065,96,-25,1,11,1,1,3
1,-1294,-37,-28,-1,-5,-1,2,1
0,-613,6,-32,-0.2,0,1,-2,0
1,5345,-17,18,0.6,12,0,2,1
1,3339,0,-10,0.6,9,0,2,1
0,3379,47,-8,0.2,2,1,-2,1
0,869,-25,23,0,3,1,2,0
1,2378,13,0,0.2,2,1,1,1
0,-6654,-25,-14,-1,-8,-1,-2,-3
1,-708,-48,-18,0.2,-1,1,-1,0
0,-3198,20,-7,0,-2,-1,-1,-2
0,-538,35,-17,-1,-7,0,-1,1
1,5745,-2,17,0.6,9,1,1,1
1,5587,-7,42,1,10,-1,1,1
0,-2935,-1,-36,0,-2,-1,-2,-1
0,8809,92,16,1.2,12,-1,-2,2
0,-7364,-35,-7,-0.8,-13,-1,-1,-2
0,1083,-30,-1,-0.2,2,1,0,1
0,2185,-5,33,0.4,6,0,-1,0
0,-1889,22,-38,-0.2,-5,-1,0,0
1,1971,17,-28,0.8,7,-1,1,0
1,2911,25,35,0.4,2,1,2,1
0,-7402,1,-31,-1.2,-11,-1,-1,-2
0,-3408,-49,28,-0.2,-5,1,0,0
0,-393,-58,-27,-0.4,-1,1,-1,0
1,3299,-8,8,0.2,8,0,-1,1
0,-7778,-65,4,-0.8,-11,1,-2,0
1,876,41,17,0.6,-2,1,-2,0
1,7244,50,21,0.4,10,1,0,2
1,-702,19,-4,0.6,-2,-1,-2,0
1,4195,34,8,0.8,6,0,1,2
0,-6970,-36,-22,-0.8,-8,-1,-2,-2
1,-6167,-34,-7,-1,-13,0,0,0
0,-2124,22,-9,-0.2,0,-1,-1,-1
0,-5420,-41,-13,-1,-8,0,-2,-1
1,9460,84,7,1.6,17,-1,1,1
1,-497,-19,11,-0.2,2,-1,1,-2
1,11606,59,45,1.4,14,1,1,3
0,-1175,39,-28,0,-6,1,-2,1
1,-287,-24,-34,0,6,-1,1,0
0,3684,21,-6,0.4,5,0,0,1
1,782,25,-1,-0.4,-2,1,0,1
1,544,2,-21,-0.4,1,1,-1,0
1,3227,-6,29,1,7,1,1,0
1,2729,77,-28,0.2,3,1,0,3
1,-1507,3,-26,-0.4,-3,-1,-1,1
1,-3603,-42,-3,-0.2,-3,-1,0,-2
1,5104,34,-2,0,5,1,0,3
0,-1002,-16,-23,-0.6,-2,-1,1,1
1,-2911,-58,1,-0.8,-4,-1,0,0
1,1486,50,12,0.6,3,0,1,0
1,2747,3,24,-0.2,1,1,0,1
0,-10122,-138,-15,-1.6,-16,-1,1,-3
1,6369,-43,20,0.6,15,1,2,2
0,-7610,-57,-26,-0.8,-11,-1,-2,-3
0,-2700,8,11,-0.4,-7,1,2,0
1,753,-26,-1,0,4,1,1,-1
0,-1461,0,15,-0.4,-4,0,1,1
0,-262,-24,6,-0.4,-4,1,-2,0
1,437,26,-16,0,2,-1,-2,-1
0,-5556,-59,11,-0.4,-5,-1,-2,-2
1,2840,67,-22,-0.6,1,1,-1,1
1,2124,-18,34,0,4,0,1,1
0,-2927,-35,-2,-0.2,-4,-1,0,-2
0,-5205,-46,-16,-0.6,-3,-1,-2,-2
0,-5446,-9,-16,-0.8,-9,-1,-2,-2
1,6845,26,13,0.8,9,1,0,1
0,-5556,-4,-20,-0.8,-8,1,-2,-1
1,7570,48,18,0.4,10,1,2,3
1,3940,19,-11,0.2,3,1,0,2
0,-465,5,-28,-0.4,-2,1,-2,1
1,8083,9,19,0.8,12,1,2,2
1,2662,13,3,0.8,8,1,1,0
1,-880,18,20,0.2,-2,-1,-1,0
1,2795,49,24,0.6,2,1,0,1
1,-1070,-22,-14,0,1,0,0,0
1,13601,93,48,2.2,13,1,1,7
0,-5048,16,-13,-1,-8,-1,-2,-2
1,9653,120,-16,0.8,11,-1,0,4
1,96,-13,-8,0,4,1,0,0
1,-417,-43,-5,-0.2,0,-1,0,0
1,-1672,18,45,0,-4,-1,1,-1
1,5102,57,-8,0.8,6,1,-2,2
0,-10937,-72,-18,-1,-12,-1,0,-4
0,-8337,-88,-11,-1.2,-11,1,-1,-3
1,-2700,-34,-6,0.4,-3,-1,0,-2
1,745,-27,-19,0.4,6,-1,2,-1
0,-5244,-54,-13,-0.8,-8,1,0,-1
1,4862,7,20,0.2,4,1,2,1
0,-5888,-23,-60,-1,-10,-1,-1,-1
0,-2359,39,-39,-0.6,-6,0,-2,0
1,1974,-5,0,0.6,5,1,1,0
1,-2149,-17,11,0.2,-2,1,2,0
1,12147,110,7,2.2,18,1,0,3
0,-4526,-39,-27,-0.4,-3,0,-1,-2
1,-3168,-27,21,0,1,0,2,-1
0,1168,19,15,0.2,3,1,2,1
1,3950,51,16,0.4,3,1,0,2
0,-4163,-13,-14,-0.8,-9,0,-1,0
1,5138,92,-3,0.2,2,1,-1,2
0,-3057,-1,-41,-0.2,0,-1,0,-1
0,2701,-25,13,0,2,1,0,1
0,-2422,23,8,0,-5,1,2,0
1,2877,-25,16,0.4,5,1,-1,1
0,-1218,-8,-11,-0.2,-5,1,-2,1
0,-11467,-124,1,-1.6,-10,0,-2,-5
